Year,Age,Name,Movie,Gender
1972,34,Jane Fonda,Klute,F
1973,27,Liza Minnelli,Cabaret,F
1974,37,Glenda Jackson,A Touch of Class,F
1975,42,Ellen Burstyn,Alice Doesn't Live Here Anymore,F
1976,41,Louise Fletcher,One Flew Over the Cuckoo's Nest,F
1977,36,Faye Dunaway,Network,F
1978,32,Diane Keaton,Annie Hall,F
1979,41,Jane Fonda,Coming Home,F
1980,33,Sally Field,Norma Rae,F
1981,31,Sissy Spacek,Coal Miner's Daughter,F
1982,74,Katharine Hepburn,On Golden Pond,F
1983,33,Meryl Streep,Sophie's Choice,F
1984,49,Shirley MacLaine,Terms of Endearment,F
1985,38,Sally Field,Places in the Heart,F
1986,61,Geraldine Page,The Trip to Bountiful,F
1987,21,Marlee Matlin,Children of a Lesser God,F
1988,41,Cher,Moonstruck,F
1989,26,Jodie Foster,The Accused,F
1990,80,Jessica Tandy,Driving Miss Daisy,F
1991,42,Kathy Bates,Misery,F
1992,29,Jodie Foster,The Silence of the Lambs,F
1993,33,Emma Thompson,Howards End,F
1994,36,Holly Hunter,The Piano,F
1995,45,Jessica Lange,Blue Sky,F
1996,49,Susan Sarandon,Dead Man Walking,F
1997,39,Frances McDormand,Fargo,F
1998,34,Helen Hunt,As Good as It Gets,F
1999,26,Gwyneth Paltrow,Shakespeare in Love,F
2000,25,Hilary Swank,Boys Don't Cry,F
2001,33,Julia Roberts,Erin Brockovich,F
2002,35,Halle Berry,Monster's Ball,F
2003,35,Nicole Kidman,The Hours,F
2004,28,Charlize Theron,Monster,F
2005,30,Hilary Swank,Million Dollar Baby,F
2006,29,Reese Witherspoon,Walk the Line,F
2007,61,Helen Mirren,The Queen,F
2008,32,Marion Cotillard,La Vie en rose,F
2009,33,Kate Winslet,The Reader,F
2010,45,Sandra Bullock,The Blind Side,F
2011,29,Natalie Portman,Black Swan,F
2012,62,Meryl Streep,The Iron Lady,F
2013,22,Jennifer Lawrence,Silver Linings Playbook,F
2014,44,Cate Blanchett,Blue Jasmine,F
2015,54,Julianne Moore,Still Alice,F
2016,26,Brie Larson,Room,F
